CONCEPTICON_ID	GLOSS	SEMANTIC_FIELD	ONTOLOGICAL_CATEGORY	ILI	POS
2117	DESIRE	Emotions and values	Action/Process		v
2118	MOUNTAIN OR HILL	The physical world	Person/Thing	i85525	n
2119	BOW STRING	Basic actions and technology	Person/Thing		n
2120	FINGER OR TOE	The body	Person/Thing		n
2121	ARM OR HAND	The body	Person/Thing		n
2122	MOUNTAIN FOOT	The physical world	Person/Thing		n
2123	MOUNTAIN RIDGE	The physical world	Person/Thing		n
2124	SMELL	Sense perception	Action/Process		v
2125	STONE OR ROCK	The physical world	Person/Thing	i86083	n
2126	EAR OR HEAR	The body	Person/Thing		n
2127	BARK OR SKIN	The body	Person/Thing		n
2128	CLAW OR NAIL	The body	Person/Thing		n
2129	BREAST OR MILK	The body	Person/Thing		n
2130	HEADGEAR	Clothing and grooming	Person/Thing	i51473	n
2131	TORCH OR LAMP	Basic actions and technology	Person/Thing	i60390	n
2132	SICKLE OR SCYTHE	Agriculture and vegetation	Person/Thing	i58590	n
2133	STRIKE OR BEAT	Basic actions and technology	Action/Process		v
2134	RAISE (BRING UP)	Basic actions and technology	Action/Process		v
2135	TRADE OR BARTER	Possession	Action/Process	i33030	v
2136	BRASS INSTRUMENT (HORN OR TRUMPET)	Speech and language	Person/Thing	i52377	n
2137	MAGICIAN	Religion and belief	Person/Thing	i89746	n
2138	LEGENDARY CREATURE	Religion and belief	Person/Thing		n
2139	MUROID (MOUSE OR RAT)	Animals	Person/Thing	i47798	n
2140	DAY OR SUN	The physical world	Person/Thing		n
2141	TREE OR WOOD	Agriculture and vegetation	Person/Thing		n
2142	RUN AWAY	Basic actions and technology	Action/Process		v
2143	LONG OR TALL	Spatial relations	Other		n
2144	SPRING OR WELL	The physical world	Person/Thing	i61077	n
2145	ROAST (DEVICE)	Food and drink	Person/Thing		n
2146	ROAST OR FRY	Food and drink	Action/Process	i23359	v
2147	WHO OR WHAT	Cognition	Other		n
2148	PICK	Basic actions and technology	Action/Process		v
2149	CHOP (INTO PIECES)	Basic actions and technology	Action/Process		v
2150	MATTER	Possession	Person/Thing		n
2151	COARSE	Spatial relations	Property		a
2152	THERE IS OR THERE ARE	Miscellaneous function words	Action/Process		v
2153	CARRY PERSON ON BACK	Motion	Action/Process		v
2154	PLOUGH (INSTRUMENT)	Agriculture and vegetation	Person/Thing		n
2155	CUT (WITH SCISSORS)	Basic actions and technology	Action/Process		v
2156	CUT (WITH KNIFE)	Basic actions and technology	Action/Process		v
2157	FINE OR THIN	Spatial relations	Property		a
2158	EARTH (WET SUBSTANCE)	The physical world	Person/Thing		n
2159	GROUND	The physical world	Person/Thing		n
2160	BAMBOO HAT	Clothing and grooming	Person/Thing		n
2161	HEMP CLOTH	Clothing and grooming	Person/Thing		n
2162	STIR FRY	Food and drink	Action/Process		v
2163	MARRY (AS WOMAN)	Kinship	Action/Process		v
2164	MARRY (AS MAN)	Kinship	Action/Process		v
2165	SLOWLY	Motion	Other		n
2166	PILLOW (CLASSIFIER)	Quantity	Classifier		n
2167	VEHICLE (CLASSIFIER)	Quantity	Classifier		n
2168	COW (CLASSIFIER)	Quantity	Classifier		n
2169	PIG (CLASSIFIER)	Quantity	Classifier		n
2170	PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)	Kinship	Person/Thing		n
2171	PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)	Kinship	Person/Thing		n
2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)	Kinship	Person/Thing		n
2173	PATERNAL UNCLE (FATHER'S OLDER BROTHER)	Kinship	Person/Thing		n
2174	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	Kinship	Person/Thing		n
2175	PATERNAL AUNT	Kinship	Person/Thing		n
2176	MATERNAL AUNT	Kinship	Person/Thing		n
2177	MATERNAL GRANDMOTHER	Kinship	Person/Thing		n
2178	MATERNAL GRANDFATHER	Kinship	Person/Thing		n
2179	TWO MILES	Quantity	Other		n
2180	TWO OUNCES	Quantity	Other		n
2181	LIGHT (IN TASTE)	Food and drink	Property		a
2182	LEFT HAND	The body	Person/Thing		n
2183	RIGHT HAND	The body	Person/Thing		n
2184	CATCH A COLD	The body	Action/Process		v
2185	DOORSILLS	The house	Person/Thing		n
2186	DRAGON BOAT FESTIVAL	Social and political relations	Person/Thing		n
2187	MID-AUTUMN FESTIVAL	Social and political relations	Person/Thing		n
2188	NEW YEAR'S EVE	Social and political relations	Person/Thing		n
2189	DUGOUT	Motion	Person/Thing		n
2190	TASTE	Food and drink	Person/Thing		n
2191	LOW (HEIGHT)	Spatial relations	Property		a
2192	REJOICE	Emotions and values	Action/Process		v
2193	CARP	Emotions and values	Action/Process		v
2194	FRONT (PART)	Spatial relations	Person/Thing		n
2195	FRESH (OF WATER)	Food and drink	Property		a
2196	HORSETAIL	Animals	Person/Thing		n
2197	BAD PERSON	Kinship	Person/Thing		n
2198	LOCATION OF EMOTIONS	Emotions and values	Person/Thing		n
2199	LOWER PART	Spatial relations	Person/Thing		n
2200	SNOUT	Animals	Person/Thing		n
2201	LIGHT (SMELL OR TASTE)	Food and drink	Property		a
2202	HIGH-RANKING	Social and political relations	Property		a
2203	RABID	The body	Property		a
2204	LEDGE	Spatial relations	Person/Thing		n
2205	PEAK	Spatial relations	Person/Thing		n
2206	RABIES	The body	Person/Thing		n
2207	CHATTERER	Kinship	Person/Thing		n
2208	BE AT WAR	Warfare and hunting	Action/Process		v
2209	BECOME EXTINGUISHED	Basic actions and technology	Action/Process		v
2210	BECOME PREPARED (OF FOOD)	Food and drink	Action/Process		v
2211	CLOSE THE EYES	Motion	Action/Process		v
2212	ARRIVE (OF AN EVENT)	Time	Action/Process		v
2213	BODY PART	The body	Person/Thing		n
2214	AFFAIR	Possession	Person/Thing		n
2215	BECOME ANGRY	Emotions and values	Action/Process		v
2216	BECOME NUMB	Sense perception	Action/Process		v
2217	YOKE (VERB)	Motion	Action/Process		v
2218	EXPERIENCED	Cognition	Property		a
2219	LEAN (MEAT)	The body	Property		a
2220	MOVE QUICKLY	Motion	Action/Process		v
2221	NOMADIZE	Social and political relations	Action/Process		v
2222	CONJURE	Religion and belief	Action/Process		v
2223	BE ANGRY	Emotions and values	Action/Process		v
2224	BEND (SOMETHING)	Basic actions and technology	Action/Process		v
2225	RECEIVE VISITORS	Social and political relations	Action/Process		v
2226	BRAVE PERSON	Kinship	Person/Thing		n
2227	SPAWN (VERB)	Animals	Action/Process		v
2228	GLARING	Sense perception	Property		a
2229	BECOME SOUR	Food and drink	Action/Process		v
2230	UNTAMED OR WILD	Animals	Property		a
2231	CORRECT (SOMETHING OR SOMEBODY)	Social and political relations	Action/Process		v
2232	KEEN OR SUBTLE	Sense perception	Property		a
2233	LOVELY	Emotions and values	Property		a
2234	FALL (OF SNOW AND RAIN)	Motion	Action/Process		v
2235	CLEAN (SOMETHING)	Motion	Action/Process		v
2236	SHINE (EMITTED LIGHT)	The physical world	Person/Thing		n
2237	FIND OUT	Cognition	Action/Process		v
2238	KNOW HOW	Cognition	Action/Process		v
2239	DENSE	Spatial relations	Property		a
2240	CORAL SNAKE	Animals	Person/Thing		n
2241	WILD CAT	Animals	Person/Thing		n
2242	BEETLE	Animals	Person/Thing		n
2243	REPAIR	Basic actions and technology	Action/Process		v
2244	METAL	The physical world	Person/Thing		n
2245	BELCH	Basic actions and technology	Action/Process		v
2246	BELL	Basic actions and technology	Person/Thing		n
2247	CATERPILLAR	Animals	Person/Thing		n
2248	KNOW (SOMEBODY)	Cognition	Action/Process		v
2249	THIN (OF SHAPE OF OBJECT)	Spatial relations	Property		a
2250	LEAF (LEAFLIKE OBJECT)	Spatial relations	Person/Thing		n
2251	BEER BANANA	Agriculture and vegetation	Person/Thing		n
2252	PATH	Motion	Person/Thing	i57052	n
2253	DRIP (EMIT LIQUID)	Motion	Action/Process	i32102	v
2254	FATHER-IN-LAW (OF WOMAN)	Kinship	Person/Thing		n
2255	FATHER-IN-LAW (OF MAN)	Kinship	Person/Thing		n
2256	MOTHER-IN-LAW (OF WOMAN)	Kinship	Person/Thing		n
2257	MOTHER-IN-LAW (OF MAN)	Kinship	Person/Thing		n
2258	SET ALIGHT (SOMETHING)	The physical world	Action/Process		v
2259	FLESH	The body	Person/Thing	i64648	n
2260	FEMALE (OF PERSON)	Kinship	Property		a
2261	MALE (OF PERSON)	Kinship	Property		a
2262	FEMALE (OF ANIMAL)	Animals	Property	i8094	a
2263	MALE (OF ANIMAL)	Animals	Property	i8088	a
2264	DAUGHTER-IN-LAW (OF WOMAN)	Kinship	Person/Thing		n
2265	DAUGHTER-IN-LAW (OF MAN)	Kinship	Person/Thing		n
2266	SON-IN-LAW (OF WOMAN)	Kinship	Person/Thing		n
2267	SON-IN-LAW (OF MAN)	Kinship	Person/Thing		n
2268	POTION	Food and drink	Person/Thing		n
2269	BREATH OR LIFE	Basic actions and technology	Person/Thing		n
2270	SAGO	Food and drink	Person/Thing		n
2271	THINK	Cognition	Action/Process		v
2272	HOT OR WARM	Sense perception	Property		a
2273	LEECH	Animals	Person/Thing		n
2274	YOUR (PLURAL)	Possession	Other		n
2275	SHADOW	The physical world	Person/Thing		n
2276	IDENTICAL	Sense perception	Property		a
2277	WHOLE	Spatial relations	Property		a
2278	PERHAPS	Time	Other		n
2279	NO OR NOT	Cognition	Other		n
2280	LOUSE OR NIT	Animals	Person/Thing		n
2281	WORKING OR WORK	Basic actions and technology	Other		n
2282	SEA OR OCEAN	The physical world	Person/Thing		n
2283	SEMEN	The body	Person/Thing		n
2284	CLEARING	The physical world	Person/Thing		n
2285	ECLIPSE	The physical world	Person/Thing		n
2286	ESTUARY	The physical world	Person/Thing		n
2287	HORIZON	The physical world	Person/Thing		n
2288	METEOROID (SHOOTING OR SHINING STAR)	The physical world	Person/Thing		n
2289	MILKY WAY	The physical world	Person/Thing		n
2290	PUDDLE	The physical world	Person/Thing		n
2291	VOLCANO	The physical world	Person/Thing		n
2292	GLASSES	Basic actions and technology	Person/Thing		n
2293	UVULA	The body	Person/Thing		n
2294	WRINKLE	The body	Person/Thing		n
2295	SUNSET	Time	Person/Thing		n
2296	SUNRISE	Time	Person/Thing		n
2297	DUSK	Time	Person/Thing		n
2298	VIRGIN	Kinship	Person/Thing		n
2299	STRAW	The physical world	Person/Thing		n
2300	GREEN OR UNRIPE	Sense perception	Property		a
2301	ME	Kinship	Other		n
2302	CIRCULAR (ROUND IN TWO DIMENSIONS)	Spatial relations	Property		a
2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	Spatial relations	Property		a
2304	THEE (OBLIQUE CASE OF YOU)	Kinship	Other		n
2305	THIN (OF HAIR AND THREAD)	Spatial relations	Property		a
2306	THIN (OF LEAF AND CLOTH)	Spatial relations	Property		a
2307	THIN (OF HAIR AND LEAF)	Spatial relations	Property		a
2308	THIN	Spatial relations	Property	i13354	a
2309	LIVE	The body	Action/Process		v
2310	US (OBLIQUE CASE OF WE)	Kinship	Other		n
2311	WOODS	The physical world	Person/Thing		n
2312	YOU (OBLIQUE CASE OF YOU)	Kinship	Other		n
2313	BRONZE	The physical world	Person/Thing		n
2314	BROTHER-IN-LAW	Kinship	Person/Thing		n
2315	COOK (PERSON)	Food and drink	Person/Thing		n
2316	FREE	Possession	Property		a
2317	SISTER-IN-LAW	Kinship	Person/Thing		n
2318	CHESTNUT	Agriculture and vegetation	Person/Thing		n
2319	LID (COVER, CAP)	Basic actions and technology	Person/Thing		n
2320	MUTE PERSON	The body	Person/Thing		n
2321	MAD PERSON	The body	Person/Thing		n
2322	LAME PERSON	Motion	Person/Thing		n
2323	BACK (PART)	Spatial relations	Person/Thing		n
2324	GET WET	Sense perception	Action/Process		v
2325	PULL OUT	Basic actions and technology	Action/Process		v
2326	TAKE OFF ONE'S CLOTHES	Basic actions and technology	Action/Process		v
2327	BECOME SICK	Basic actions and technology	Action/Process		v
2328	MISS (SOMEBODY)	Basic actions and technology	Action/Process		v
2329	LACK (NOT HAVE)	Basic actions and technology	Action/Process		v
2330	YEAR AFTER NEXT YEAR	Time	Other		n
2331	YEAR BEFORE LAST YEAR	Time	Other		n
2332	THREE DAYS FROM NOW	Time	Other		n
2333	THREE DAYS BEFORE NOW	Time	Other		n
2334	MELT	The physical world	Action/Process		v
2335	CUNNING	Cognition	Property		a
2336	OF THIS KIND (SUCH)	Miscellaneous function words	Other		n
2337	OF THAT KIND (SUCH)	Miscellaneous function words	Other		n
2338	HOW LONG	Time	Other		n
2339	NEED (SOMETHING)	Cognition	Other		n
2340	SUNNY	The physical world	Property		a
2341	CLOUDY	The physical world	Property		a
2342	LANDSCAPE	The physical world	Person/Thing		n
2343	STEEL	Basic actions and technology	Person/Thing		n
2344	PETROL	Modern world	Person/Thing		n
2345	LEPORID (RABBIT OR HARE)	Animals	Person/Thing		n
2346	CRESTED MYNA	Animals	Person/Thing		n
2347	YELLOW CROAKER	Animals	Person/Thing		n
2348	CRAB	Animals	Person/Thing		n
2349	SHRIMP	Animals	Person/Thing		n
2350	EARTHWORM	Animals	Person/Thing		n
2351	SILKWORM	Animals	Person/Thing		n
2352	DRAGONFLY	Animals	Person/Thing		n
2353	CICADA	Animals	Person/Thing		n
2354	CRICKET	Animals	Person/Thing		n
2355	GECKO	Animals	Person/Thing		n
2356	CHINESE PLUM	Agriculture and vegetation	Person/Thing		n
2357	APRICOT TREE	Agriculture and vegetation	Person/Thing		n
2358	PEACH TREE	Agriculture and vegetation	Person/Thing		n
2359	LOTUS	Agriculture and vegetation	Person/Thing		n
2360	SWEET OLIVE	Agriculture and vegetation	Person/Thing		n
2361	MUGWORT	Agriculture and vegetation	Person/Thing		n
2362	BRAN	Agriculture and vegetation	Person/Thing		n
2363	CHAFF (HUSK)	Agriculture and vegetation	Person/Thing		n
2364	PEANUT	Agriculture and vegetation	Person/Thing		n
2365	RADISH	Agriculture and vegetation	Person/Thing		n
2366	ONION	Agriculture and vegetation	Person/Thing		n
2367	MANDARINE	Agriculture and vegetation	Person/Thing		n
2368	GARLIC	Agriculture and vegetation	Person/Thing		n
2369	BETEL NUT	Agriculture and vegetation	Person/Thing		n
2370	CUT NUT	Agriculture and vegetation	Person/Thing		n
2371	BREADFRUIT	Agriculture and vegetation	Person/Thing		n
2372	SAGO PALM	Agriculture and vegetation	Person/Thing		n
2373	SKIN (OF FRUIT)	Agriculture and vegetation	Person/Thing		n
2374	DREAM	The body	Person/Thing		n
2375	VERTICAL	Spatial relations	Property		a
2376	HORIZONTAL	Spatial relations	Property		a
2377	FLASH (VERB)	The physical world	Action/Process		v
2378	THUNDER (VERB)	The physical world	Action/Process		v
2379	UP OR ABOVE	Spatial relations	Other		n
2380	BROTHER-IN-LAW (OF MAN)	Kinship	Person/Thing		n
2381	FEATHER OR FUR OR HAIR	The body	Person/Thing		n
2382	BLUE OR GREEN	Sense perception	Property		a
2383	AUNT OR MOTHER-IN-LAW	Kinship	Person/Thing		n
2384	COUSIN OR SISTER-IN-LAW	Kinship	Person/Thing		n
2385	GUAN OR TURKEY	Animals	Person/Thing		n
2386	TURKEY	Animals	Person/Thing		n
2387	UNCLE OR FATHER-IN-LAW	Kinship	Person/Thing		n
2388	LIANA	Agriculture and vegetation	Person/Thing		n
2389	COATI (COATIMUNDI)	Animals	Person/Thing		n
2390	PECCARY	Animals	Person/Thing		n
2391	BOY OR SON	Kinship	Person/Thing		n
2392	DAUGHTER OR GIRL	Kinship	Person/Thing		n
2393	JOURNEY	Motion	Person/Thing		n
2394	CHIEF	Social and political relations	Person/Thing		n
2395	CONGEAL (BLOOD)	The body	Action/Process		v
2396	KNOCK	Motion	Action/Process		v
2397	LOBSTER	Animals	Person/Thing		n
2398	MANGO	Agriculture and vegetation	Person/Thing		n
2399	GRANDPARENT	Kinship	Person/Thing		n
2400	THEIR	Possession	Other		n
2401	PICTURE	Modern world	Person/Thing		n
2402	ROBIN	Animals	Person/Thing		n
2403	TOY	Modern world	Person/Thing		n
2404	SANTA CLAUS	Modern world	Person/Thing		n
2405	CHRISTMAS	Modern world	Person/Thing		n
2406	HOME	The house	Person/Thing		n
2407	BIRTHDAY	Social and political relations	Person/Thing		n
2408	CAKE	Modern world	Person/Thing		n
2409	BROWN	Sense perception	Property		a
2410	GOOD-LOOKING	Sense perception	Property		a
2411	HURT (SOMEBODY)	Sense perception	Action/Process		v
2412	THANK (SOMEBODY)	Social and political relations	Action/Process		v
2413	SARONG	Clothing and grooming	Person/Thing		n
2414	OLDER BROTHER (OF MAN)	Kinship	Person/Thing		n
2415	OLDER BROTHER (OF WOMAN)	Kinship	Person/Thing		n
2416	YOUNGER BROTHER (OF MAN)	Kinship	Person/Thing		n
2417	YOUNGER BROTHER (OF WOMAN)	Kinship	Person/Thing		n
2418	OLDER SISTER (OF MAN)	Kinship	Person/Thing		n
2419	OLDER SISTER (OF WOMAN)	Kinship	Person/Thing		n
2420	YOUNGER SISTER (OF MAN)	Kinship	Person/Thing		n
2421	YOUNGER SISTER (OF WOMAN)	Kinship	Person/Thing		n
2422	SOMEONE	Quantity	Other		n
2423	CHANNEL	Modern world	Person/Thing		n
2424	MEMBER	Modern world	Person/Thing		n
2425	PROBLEM	Modern world	Person/Thing		n
2426	CLIMATE	The physical world	Person/Thing		n
2427	FUTURE	Time	Person/Thing		n
2428	LIBRARY	Modern world	Person/Thing		n
2429	LOGIC	Modern world	Person/Thing		n
2430	OFFICE	Modern world	Person/Thing		n
2431	REVOLUTION	Modern world	Person/Thing		n
2432	MARRIAGE	Kinship	Person/Thing		n
2433	THEORY	Modern world	Person/Thing		n
2434	TRAGEDY	Modern world	Person/Thing		n
2435	UNIVERSITY	Modern world	Person/Thing		n
2436	GUTS OR HEART	The body	Person/Thing		n
2437	ACAI PALM	Agriculture and vegetation	Person/Thing		n
2438	CAIMAN	Animals	Person/Thing		n
2439	TUCUMA PALM	Agriculture and vegetation	Person/Thing		n
2440	PINEAPPLE	Agriculture and vegetation	Person/Thing		n
2441	CASHEW	Agriculture and vegetation	Person/Thing		n
2442	COCOA BEAN	Agriculture and vegetation	Person/Thing		n
2443	ELECTRIC EEL	Animals	Person/Thing		n
2444	KINGFISHER	Animals	Person/Thing		n
2445	PAPAYA	Agriculture and vegetation	Person/Thing		n
2446	SLOTH	Animals	Person/Thing		n
2447	WOODPECKER	Animals	Person/Thing		n
2448	WILD DOG	Animals	Person/Thing		n
2449	FAT (OF MEAT AND FOOD)	Food and drink	Property		a
2450	FOOT OR WALK	The body	Other		n
2451	FOURTEEN	Quantity	Number		a
2452	PURPLE	Sense perception	Property		a
2453	SEVENTEEN	Quantity	Number		a
2454	SIXTEEN	Quantity	Number		a
2455	DREAMING OR DREAM	The body	Other		n
2456	LARGE WILD HERBIVORE	Animals	Person/Thing		n
2457	PATH OR ROAD	Motion	Person/Thing		n
2458	PERSPIRE OR SWEAT	The body	Other		n
2459	GRINDSTONE	Basic actions and technology	Person/Thing		n
2460	DINGO	Animals	Person/Thing		n
2461	WOLF-LIKE ANIMAL	Animals	Person/Thing		n
2462	WINNOWING	Basic actions and technology	Action/Process		v
2463	MOON OR MONTH	The physical world	Person/Thing		n
2464	LAY EGGS	Basic actions and technology	Action/Process		v
2465	DISGUST	Emotions and values	Person/Thing		n
2466	WEIGHT	Sense perception	Person/Thing		n
2467	GAME	Social and political relations	Person/Thing		n
2468	BAG	Basic actions and technology	Person/Thing		n
2469	AGAINST	Basic actions and technology	Property		a
2470	DEAR	Emotions and values	Property		a
2471	LADY	Social and political relations	Person/Thing		n
2472	SUCKLE (BREASTFEED, NURSE)	Basic actions and technology	Action/Process		v
2473	HIS (GENITIVE OF HE)	Possession	Other		n
2474	HER (GENITIVE OF SHE)	Possession	Other		n
2475	MALE GOAT	Animals	Person/Thing	i48327	n
2476	FEMALE GOAT	Animals	Person/Thing		n
2477	YAK	Animals	Person/Thing		n
2478	MALE YAK	Animals	Person/Thing		n
2479	FEMALE YAK	Animals	Person/Thing		n
2480	MALE DOG	Animals	Person/Thing		n
2481	FEMALE DOG	Animals	Person/Thing		n
2482	TOGETHER	Spatial relations	Other		n
2483	COLD (OF WEATHER)	Sense perception	Property		a
2484	SMALL (NOT TALL)	Spatial relations	Property		a
2485	HIDE (ONESELF)	Spatial relations	Action/Process		v
2486	HIDE	Spatial relations	Action/Process		v
2487	MALE PIG	Animals	Person/Thing		n
2488	FEMALE PIG	Animals	Person/Thing		n
2489	ABACUS	Modern world	Person/Thing		n
2490	NOON	Time	Person/Thing		n
2491	POULTRY MEAT	Food and drink	Person/Thing		n
2492	BOIL (SOMETHING)	Food and drink	Action/Process		v
2493	BOIL	Food and drink	Action/Process		v
2494	BAMBOO SHOOT	Agriculture and vegetation	Person/Thing		n
2495	ELEPHANT TUSK	Animals	Person/Thing		n
2496	ADORNED	Clothing and grooming	Property		a
2497	RATTAN	The house	Person/Thing		n
2498	OPIUM	Food and drink	Person/Thing		n
2499	KAPOK TREE	Agriculture and vegetation	Person/Thing		n
2500	GINGER	Agriculture and vegetation	Person/Thing		n
2501	RICE HUSK	Agriculture and vegetation	Person/Thing		n
2502	GONG	Modern world	Person/Thing		n
2503	LAUNDER (WASH CLOTHES)	Basic actions and technology	Action/Process		v
2504	DIFFERENT	Social and political relations	Property		a
2505	BEDROOM	The house	Person/Thing		n
2506	LOOSE	Basic actions and technology	Property		a
2507	DISGUSTING	Emotions and values	Property		a
2508	PANGOLIN	Animals	Person/Thing		n
2509	EXCHANGE	Basic actions and technology	Action/Process		v
2510	PORCUPINE	Animals	Person/Thing		n
2511	GIBBON	Animals	Person/Thing		n
2512	CHICK	Animals	Person/Thing		n
2513	CHICKEN CHICK	Animals	Person/Thing		n
2514	SPOUSE	Kinship	Person/Thing		n
2515	CARABAO	Animals	Person/Thing		n
2516	WATER BUFFALO	Animals	Person/Thing		n
2517	CROWDED	Social and political relations	Property		a
2518	HEARING (AURAL SENSE)	Sense perception	Person/Thing		n
2519	SEEING (VISUAL SENSE)	Sense perception	Person/Thing		n
2520	SMELLING (OLFACTORY SENSE)	Sense perception	Person/Thing		n
2521	FEELING (HAPTIC SENSE)	Sense perception	Person/Thing		n
2522	SCREAM (NOISE)	Speech and language	Person/Thing		n
2523	HOWLING	Speech and language	Person/Thing		n
2524	JOY	Emotions and values	Person/Thing		n
2525	LABOUR (EFFORT)	Basic actions and technology	Person/Thing		n
2526	POWER	Social and political relations	Person/Thing		n
2527	ABILITY	Social and political relations	Person/Thing		n
2528	SIZE (OF PERSON)	Spatial relations	Person/Thing		n
2529	BLESSED	Religion and belief	Person/Thing		n
2530	SMART	Cognition	Property		a
2531	BROAD	Spatial relations	Property		a
2532	TORNADO	The physical world	Person/Thing		n
2533	WATERSIDE	The physical world	Person/Thing		n
2534	DEPTH	Spatial relations	Person/Thing		n
2535	ALTITUDE	Spatial relations	Person/Thing		n
2536	BREADTH	Spatial relations	Person/Thing		n
2537	LENGTH	Spatial relations	Person/Thing		n
2538	TRENCH (FOSSE)	The physical world	Person/Thing		n
2539	PIT (POTHOLE)	The physical world	Person/Thing		n
2540	LIME (MATERIAL)	The physical world	Person/Thing		n
2541	MIRACLE	Religion and belief	Person/Thing		n
2542	HERB	Agriculture and vegetation	Person/Thing		n
2543	RAVEN	Animals	Person/Thing		n
2544	SHEPHERD	Basic actions and technology	Person/Thing		n
2545	HARROW (TOOL)	Agriculture and vegetation	Person/Thing		n
2546	BORDER	Social and political relations	Person/Thing		n
2547	CITY	Modern world	Person/Thing		n
2548	BARREL	Modern world	Person/Thing		n
2549	VEHICLE	Motion	Person/Thing		n
2550	VIANDS (PROVISIONS)	Food and drink	Person/Thing		n
2551	ORGANIC FAT OR OIL	Food and drink	Person/Thing		n
2552	HARNESS (ARMOUR)	Warfare and hunting	Person/Thing		n
2553	MISERY	Emotions and values	Person/Thing		n
2554	PRINCE (RULER)	Social and political relations	Person/Thing		n
2555	OIL (FROM PLANTS)	Food and drink	Person/Thing		n
2556	OIL (HYDROPHOBIC LIQUID)	The physical world	Person/Thing		n
2557	PIG FAT	Food and drink	Person/Thing		n
2558	BREAK (CLEAVE)	Basic actions and technology	Action/Process		v
2559	FEEL (TACTUALLY)	Basic actions and technology	Action/Process		v
2560	PATERNAL GRANDFATHER	Kinship	Person/Thing		n
2561	HURT (SENSE PAIN)	Sense perception	Action/Process		v
2562	SEX (GENDER)	Social and political relations	Person/Thing		n
2563	CASTRATE	The body	Action/Process		v
2564	PIGLET	Animals	Person/Thing		n
2565	CASTRATED BOAR	Animals	Person/Thing		n
2566	GELDING	Animals	Person/Thing		n
2567	CAPON	Animals	Person/Thing		n
2568	BAKER	Social and political relations	Person/Thing		n
2569	BUTCHER	Social and political relations	Person/Thing		n
2570	BEEF	Food and drink	Person/Thing		n
2571	TRY (TEST)	Basic actions and technology	Action/Process		v
2572	SENSE (PERCEIVE BY SENSES)	Sense perception	Action/Process		v
2573	FEELING (EMOTION)	Sense perception	Person/Thing		n
2574	BEAN OR PEA	Agriculture and vegetation	Person/Thing		n
2575	DO OR MAKE	Basic actions and technology	Action/Process		v
2576	ALREADY	Time	Other		n
2577	YET	Time	Other		n
2578	PENCIL	Modern world	Person/Thing		n
2579	TOOTHBRUSH	Modern world	Person/Thing		n
2580	HELICOPTER	Modern world	Person/Thing		n
2581	OCTOPUS	Animals	Person/Thing		n
2582	WHEELCHAIR	Modern world	Person/Thing		n
2583	PRETZEL	Food and drink	Person/Thing		n
2584	BENCH	The house	Person/Thing		n
2585	RACQUET	Modern world	Person/Thing		n
2586	SEAHORSE	Animals	Person/Thing		n
2587	DARTS	Modern world	Person/Thing		n
2588	GLOBE	Modern world	Person/Thing		n
2589	WREATH	Modern world	Person/Thing		n
2590	HARMONICA	Modern world	Person/Thing		n
2591	RHINOCEROS	Animals	Person/Thing		n
2592	IGLOO	The house	Person/Thing		n
2593	STILTS	Modern world	Person/Thing		n
2594	DOMINOES	Modern world	Person/Thing		n
2595	CACTUS	Agriculture and vegetation	Person/Thing		n
2596	ESCALATOR	Modern world	Person/Thing		n
2597	HARP	Modern world	Person/Thing		n
2598	DOOR KNOCKER	Modern world	Person/Thing		n
2599	STETHOSCOPE	Modern world	Person/Thing		n
2600	PYRAMID	The house	Person/Thing		n
2601	UNICORN	Religion and belief	Person/Thing		n
2602	FUNNEL	Modern world	Person/Thing		n
2603	ACCORDION	Modern world	Person/Thing		n
2604	NOOSE	Basic actions and technology	Person/Thing		n
2605	ASPARAGUS	Agriculture and vegetation	Person/Thing		n
2606	COMPASS	Modern world	Person/Thing		n
2607	TRIPOD	Modern world	Person/Thing		n
2608	SCROLL	Modern world	Person/Thing		n
2609	SPHINX	Religion and belief	Person/Thing		n
2610	TRELLIS (ARCHITECTURE)	Modern world	Person/Thing		n
2611	PALETTE (PAINTING)	Modern world	Person/Thing		n
2612	PROTRACTOR	Modern world	Person/Thing		n
2613	SKIN (HUMAN)	The body	Person/Thing		n
2614	SKIN (ANIMAL)	Animals	Person/Thing		n
2615	FLESH OR MEAT	The body	Person/Thing		n
2616	SAGO THATCH	The house	Person/Thing		n
2617	BULB	Agriculture and vegetation	Person/Thing		n
2618	CAMERA	Modern world	Person/Thing		n
2619	CARD	Modern world	Person/Thing		n
2620	CARRIAGE	Modern world	Person/Thing		n
2621	CURTAIN	Modern world	Person/Thing		n
2622	ENGINE	Modern world	Person/Thing		n
2623	FLAG	Modern world	Person/Thing		n
2624	FRAME	Modern world	Person/Thing		n
2625	MAP	Modern world	Person/Thing		n
2626	NERVE	The body	Person/Thing		n
2627	ORANGE (FRUIT)	Agriculture and vegetation	Person/Thing		n
2628	PLANT STEM	Agriculture and vegetation	Person/Thing		n
2629	TRAY	Modern world	Person/Thing		n
2630	WHIP	Modern world	Person/Thing		n
2631	WIRE	Modern world	Person/Thing		n
