CONCEPTICON_ID	GLOSS	SEMANTIC_FIELD	ONTOLOGICAL_CATEGORY	ILI	POS
4080	TITLE	Social and political relations	Person/Thing		n
4081	FRAUD	Law	Person/Thing		n
4082	ABUNDANCE	Quantity	Person/Thing		n
4083	PROTECTION	Social and political relations	Person/Thing		n
4084	TALENT	Cognition	Person/Thing		n
4085	SAFETY	Social and political relations	Person/Thing		n
4086	FREEDOM	Social and political relations	Person/Thing		n
4087	INTELLIGENCE	Cognition	Person/Thing		n
4088	SEAT	The house	Person/Thing		n
4089	SUCCESS	Emotions and values	Person/Thing		n
4090	SYRINGE	Modern world	Person/Thing		n
4091	RESTAURANT	Modern world	Person/Thing		n
4092	TRAITOR	Social and political relations	Person/Thing		n
4093	AFFECTION	Emotions and values	Person/Thing		n
4094	ART	Basic actions and technology	Person/Thing		n
4095	SCIENCE	Cognition	Person/Thing		n
4096	LONELY	Emotions and values	Property		a
4097	LEADER	Social and political relations	Person/Thing		n
